company,total_layoffs,layoff_events,avg_layoff_size,first_layoff,last_layoff
#Paid,19.0,1,19.0,2023-01-27,2023-01-27
&Open,9.0,1,9.0,2022-11-17,2022-11-17
10X Genomics,100.0,1,100.0,2022-08-04,2022-08-04
1stdibs,70.0,1,70.0,2020-04-02,2020-04-02
23andMe,146.0,2,73.0,2023-06-09,2023-08-08
2TM,190.0,2,95.0,2022-06-01,2022-09-01
54gene,95.0,1,95.0,2022-08-29,2022-08-29
6sense,150.0,1,150.0,2022-10-12,2022-10-12
7Shifts,68.0,1,68.0,2024-01-11,2024-01-11
7shifts,30.0,1,30.0,2023-09-15,2023-09-15
8x8,355.0,2,177.5,2022-10-04,2023-01-18
99,75.0,1,75.0,2022-09-20,2022-09-20
AEye,46.0,1,46.0,2023-03-28,2023-03-28
AU10TIX,19.0,1,19.0,2023-01-31,2023-01-31
Abra,12.0,1,12.0,2022-06-30,2022-06-30
Absci,30.0,1,30.0,2023-09-05,2023-09-05
Acast,70.0,1,70.0,2022-09-15,2022-09-15
Acko,45.0,1,45.0,2020-04-01,2020-04-01
AdRoll,210.0,1,210.0,2020-03-31,2020-03-31
Ada,78.0,1,78.0,2022-09-20,2022-09-20
Ada Support,36.0,1,36.0,2020-04-24,2020-04-24
Adaptive Biotechnology,100.0,1,100.0,2022-03-08,2022-03-08
Addepar,20.0,1,20.0,2023-01-18,2023-01-18
Affirm,560.0,2,280.0,2023-02-08,2024-02-21
AgentSync,67.0,1,67.0,2023-07-19,2023-07-19
Ahead,44.0,1,44.0,2022-04-14,2022-04-14
Airbnb,1900.0,1,1900.0,2020-05-05,2020-05-05
Airmeet,75.0,1,75.0,2023-05-25,2023-05-25
Airtable,491.0,2,245.5,2022-12-08,2023-09-14
Airtasker,45.0,1,45.0,2023-04-27,2023-04-27
Airtime,30.0,1,30.0,2022-05-23,2022-05-23
Ajaib,67.0,1,67.0,2022-11-28,2022-11-28
Akamai,290.0,1,290.0,2023-05-09,2023-05-09
Akili Labs,46.0,1,46.0,2023-01-12,2023-01-12
AlayaCare,80.0,1,80.0,2022-08-16,2022-08-16
Albert,20.0,1,20.0,2022-06-10,2022-06-10
AliExpress Russia,400.0,1,400.0,2022-05-14,2022-05-14
Alice,113.0,1,113.0,2022-12-09,2022-12-09
Alteryx,320.0,1,320.0,2023-04-27,2023-04-27
Alto Pharmacy,47.0,1,47.0,2020-09-29,2020-09-29
Amazon,27580.0,6,4596.67,2022-10-28,2024-02-06
American Robotics,50.0,1,50.0,2023-01-17,2023-01-17
Amount,130.0,1,130.0,2023-02-27,2023-02-27
Amperity,33.0,2,16.5,2022-08-20,2024-01-25
Amplero,17.0,1,17.0,2020-03-29,2020-03-29
Amplitude,99.0,1,99.0,2023-04-05,2023-04-05
Analog Devices,111.0,1,111.0,2023-12-13,2023-12-13
Anchorage Digital,75.0,1,75.0,2023-03-14,2023-03-14
Andela,135.0,1,135.0,2020-05-05,2020-05-05
Anodot,50.0,2,25.0,2022-07-06,2022-07-06
Antidote Health,23.0,1,23.0,2022-10-23,2022-10-23
Apartment List,29.0,1,29.0,2022-08-31,2022-08-31
App Annie,80.0,1,80.0,2020-04-28,2020-04-28
AppFolio,149.0,1,149.0,2023-08-17,2023-08-17
AppLovin,300.0,1,300.0,2022-06-27,2022-06-27
ApplyBoard,90.0,1,90.0,2022-11-28,2022-11-28
Aptiv,250.0,1,250.0,2024-02-20,2024-02-20
Aqgromalin,80.0,1,80.0,2022-06-20,2022-06-20
Aqua Security,89.0,2,44.5,2020-04-01,2022-12-05
Archipelago,40.0,1,40.0,2023-08-01,2023-08-01
Argo AI,323.0,2,161.5,2022-07-07,2022-10-26
Argyle,20.0,1,20.0,2022-08-26,2022-08-26
Arm Holdings,70.0,1,70.0,2023-12-18,2023-12-18
Armis,25.0,1,25.0,2022-12-08,2022-12-08
Arrival,1480.0,3,493.33,2022-07-13,2023-10-05
Arrive Logistics,75.0,1,75.0,2020-04-03,2020-04-03
Artsy,35.0,1,35.0,2023-06-29,2023-06-29
Asana,180.0,1,180.0,2022-11-15,2022-11-15
Astra,40.0,1,40.0,2020-04-05,2020-04-05
Astronomer,176.0,2,88.0,2023-01-04,2023-04-13
At-Bay,27.0,1,27.0,2023-09-12,2023-09-12
Atlas,150.0,1,150.0,2023-08-23,2023-08-23
Atlassian,500.0,1,500.0,2023-03-06,2023-03-06
AtoB,32.0,1,32.0,2022-10-19,2022-10-19
Atsu,6.0,1,6.0,2020-04-10,2020-04-10
Audible,100.0,1,100.0,2024-01-11,2024-01-11
AudioCodes,160.0,2,80.0,2023-05-09,2023-07-13
Augury,90.0,2,45.0,2023-01-04,2023-08-02
Aura,70.0,1,70.0,2022-06-23,2022-06-23
Aurora Solar,111.0,1,111.0,2024-01-30,2024-01-30
Autograph,30.0,1,30.0,2023-05-04,2023-05-04
Automation Anything,260.0,1,260.0,2020-04-27,2020-04-27
AvantStay,144.0,1,144.0,2022-11-09,2022-11-09
Avidbots,50.0,1,50.0,2023-03-14,2023-03-14
Avo,500.0,1,500.0,2022-05-01,2022-05-01
Away,82.0,2,41.0,2020-04-07,2023-05-31
Aya,5.0,1,5.0,2020-11-19,2020-11-19
B8ta,250.0,1,250.0,2020-03-26,2020-03-26
Back Market,93.0,1,93.0,2022-12-23,2022-12-23
Banxa,70.0,1,70.0,2022-06-27,2022-06-27
Basis Technologies,40.0,1,40.0,2023-02-21,2023-02-21
Baton,16.0,1,16.0,2022-06-29,2022-06-29
Beam Benefits,105.0,2,52.5,2023-02-08,2024-01-10
Bench,47.0,1,47.0,2020-03-27,2020-03-27
BenchSci,70.0,1,70.0,2024-01-08,2024-01-08
Benchling,74.0,1,74.0,2023-04-21,2023-04-21
Benevity,137.0,1,137.0,2023-01-18,2023-01-18
Berlin Brands Group,100.0,1,100.0,2022-06-10,2022-06-10
Bestow,41.0,1,41.0,2022-06-24,2022-06-24
Better.com,3900.0,2,1950.0,2021-12-01,2022-03-08
